V: 50
E: 245
Edge_Id Vi Vj
e1      1  2
e2      1  6
e3      1  7
e4      1  18
e5      1  33
e6      1  36
e7      2  3
e8      2  6
e9      2  10
e10     2  12
e11     2  18
e12     2  19
e13     2  21
e14     2  35
e15     3  4
e16     3  7
e17     3  9
e18     3  18
e19     3  22
e20     3  26
e21     3  31
e22     3  34
e23     3  36
e24     3  47
e25     4  5
e26     4  7
e27     4  8
e28     4  16
e29     4  18
e30     4  21
e31     4  24
e32     4  37
e33     4  44
e34     5  6
e35     5  8
e36     5  18
e37     5  20
e38     5  31
e39     5  33
e40     6  7
e41     6  12
e42     6  13
e43     6  17
e44     6  19
e45     6  24
e46     6  25
e47     6  41
e48     6  43
e49     6  44
e50     6  49
e51     7  8
e52     7  16
e53     7  22
e54     7  26
e55     7  29
e56     7  30
e57     7  31
e58     7  33
e59     7  37
e60     7  39
e61     7  46
e62     8  9
e63     8  24
e64     8  28
e65     8  29
e66     8  35
e67     8  42
e68     8  44
e69     9  10
e70     9  20
e71     9  26
e72     9  28
e73     9  31
e74     9  32
e75     9  34
e76     9  40
e77     9  42
e78     9  44
e79     9  45
e80     9  46
e81     9  48
e82     10 11
e83     10 23
e84     10 24
e85     10 28
e86     10 34
e87     11 12
e88     11 25
e89     11 30
e90     11 32
e91     11 47
e92     11 49
e93     12 13
e94     12 22
e95     12 34
e96     12 35
e97     12 44
e98     13 14
e99     13 28
e100    13 34
e101    13 35
e102    13 38
e103    14 15
e104    14 17
e105    14 18
e106    14 26
e107    14 37
e108    14 39
e109    14 45
e110    15 16
e111    15 17
e112    15 29
e113    15 32
e114    15 36
e115    15 38
e116    15 50
e117    16 17
e118    16 36
e119    16 37
e120    17 18
e121    17 25
e122    17 31
e123    17 32
e124    17 35
e125    17 36
e126    17 38
e127    17 40
e128    18 19
e129    18 28
e130    18 44
e131    19 20
e132    19 25
e133    19 26
e134    19 27
e135    19 46
e136    19 49
e137    20 21
e138    20 22
e139    20 24
e140    20 30
e141    20 37
e142    20 45
e143    21 22
e144    21 23
e145    21 25
e146    21 28
e147    21 36
e148    21 39
e149    21 42
e150    21 49
e151    22 23
e152    22 30
e153    22 35
e154    23 24
e155    23 25
e156    23 34
e157    23 35
e158    23 36
e159    23 42
e160    23 49
e161    24 25
e162    24 28
e163    24 35
e164    24 36
e165    24 39
e166    24 44
e167    25 26
e168    25 27
e169    25 30
e170    25 32
e171    25 35
e172    25 39
e173    25 42
e174    25 45
e175    25 46
e176    26 27
e177    26 31
e178    26 37
e179    26 38
e180    26 43
e181    27 28
e182    27 41
e183    27 47
e184    28 29
e185    28 31
e186    28 35
e187    28 39
e188    29 30
e189    29 36
e190    29 46
e191    30 31
e192    30 33
e193    30 38
e194    30 40
e195    30 47
e196    30 50
e197    31 32
e198    31 33
e199    31 39
e200    31 47
e201    32 33
e202    32 35
e203    32 36
e204    32 45
e205    33 34
e206    33 42
e207    33 45
e208    33 49
e209    34 35
e210    34 39
e211    34 43
e212    34 45
e213    34 49
e214    35 36
e215    35 45
e216    36 37
e217    36 38
e218    36 39
e219    36 41
e220    36 48
e221    37 38
e222    37 42
e223    37 47
e224    37 49
e225    38 39
e226    38 45
e227    39 40
e228    39 45
e229    39 49
e230    40 41
e231    40 42
e232    40 47
e233    41 42
e234    41 46
e235    42 43
e236    43 44
e237    44 45
e238    44 49
e239    45 46
e240    45 48
e241    45 49
e242    46 47
e243    47 48
e244    48 49
e245    49 50
