V: 150
E: 2235
Edge_Id Vi  Vj
e1      1   2
e2      1   7
e3      1   18
e4      1   35
e5      1   65
e6      1   70
e7      1   103
e8      1   104
e9      1   115
e10     1   126
e11     2   3
e12     2   7
e13     2   22
e14     2   28
e15     2   31
e16     2   47
e17     2   58
e18     2   66
e19     2   79
e20     2   80
e21     2   86
e22     2   88
e23     2   91
e24     2   94
e25     2   105
e26     2   109
e27     2   112
e28     2   113
e29     2   115
e30     2   119
e31     2   124
e32     2   125
e33     2   126
e34     2   140
e35     2   142
e36     3   4
e37     3   5
e38     3   8
e39     3   15
e40     3   21
e41     3   24
e42     3   25
e43     3   29
e44     3   33
e45     3   38
e46     3   40
e47     3   58
e48     3   62
e49     3   63
e50     3   80
e51     3   90
e52     3   91
e53     3   99
e54     3   106
e55     3   108
e56     3   114
e57     3   118
e58     3   136
e59     4   5
e60     4   7
e61     4   12
e62     4   16
e63     4   17
e64     4   21
e65     4   36
e66     4   37
e67     4   38
e68     4   47
e69     4   59
e70     4   71
e71     4   77
e72     4   93
e73     4   97
e74     4   98
e75     4   101
e76     4   107
e77     4   109
e78     4   112
e79     4   114
e80     4   136
e81     5   6
e82     5   8
e83     5   21
e84     5   23
e85     5   29
e86     5   31
e87     5   52
e88     5   53
e89     5   59
e90     5   63
e91     5   64
e92     5   76
e93     5   78
e94     5   80
e95     5   82
e96     5   84
e97     5   85
e98     5   88
e99     5   89
e100    5   100
e101    5   112
e102    5   120
e103    5   123
e104    5   127
e105    5   128
e106    5   129
e107    5   131
e108    5   138
e109    5   143
e110    5   144
e111    5   149
e112    6   7
e113    6   14
e114    6   19
e115    6   35
e116    6   37
e117    6   44
e118    6   51
e119    6   57
e120    6   59
e121    6   69
e122    6   72
e123    6   74
e124    6   83
e125    6   89
e126    6   92
e127    6   93
e128    6   96
e129    6   97
e130    6   106
e131    6   108
e132    6   112
e133    6   117
e134    6   121
e135    6   123
e136    6   124
e137    6   126
e138    6   130
e139    6   131
e140    6   147
e141    7   8
e142    7   14
e143    7   21
e144    7   40
e145    7   54
e146    7   73
e147    7   82
e148    7   84
e149    7   85
e150    7   86
e151    7   88
e152    7   94
e153    7   96
e154    7   99
e155    7   102
e156    7   106
e157    7   136
e158    7   137
e159    7   143
e160    7   147
e161    7   149
e162    8   9
e163    8   10
e164    8   12
e165    8   19
e166    8   30
e167    8   37
e168    8   40
e169    8   44
e170    8   48
e171    8   50
e172    8   53
e173    8   55
e174    8   56
e175    8   68
e176    8   72
e177    8   74
e178    8   77
e179    8   82
e180    8   84
e181    8   88
e182    8   97
e183    8   100
e184    8   107
e185    8   108
e186    8   110
e187    8   123
e188    8   124
e189    8   136
e190    8   149
e191    9   10
e192    9   14
e193    9   28
e194    9   31
e195    9   37
e196    9   41
e197    9   45
e198    9   46
e199    9   58
e200    9   67
e201    9   70
e202    9   88
e203    9   93
e204    9   95
e205    9   97
e206    9   101
e207    9   110
e208    9   115
e209    9   123
e210    9   124
e211    9   129
e212    9   138
e213    9   146
e214    10  11
e215    10  22
e216    10  23
e217    10  24
e218    10  28
e219    10  55
e220    10  63
e221    10  66
e222    10  73
e223    10  84
e224    10  86
e225    10  87
e226    10  92
e227    10  94
e228    10  112
e229    10  124
e230    10  125
e231    10  132
e232    10  133
e233    10  135
e234    10  138
e235    10  144
e236    10  145
e237    10  147
e238    11  12
e239    11  16
e240    11  28
e241    11  39
e242    11  45
e243    11  46
e244    11  55
e245    11  63
e246    11  64
e247    11  69
e248    11  70
e249    11  80
e250    11  81
e251    11  83
e252    11  85
e253    11  88
e254    11  89
e255    11  100
e256    11  101
e257    11  105
e258    11  106
e259    11  109
e260    11  112
e261    11  114
e262    11  115
e263    11  116
e264    11  124
e265    11  128
e266    11  132
e267    11  138
e268    11  144
e269    11  146
e270    11  148
e271    12  13
e272    12  17
e273    12  34
e274    12  38
e275    12  41
e276    12  45
e277    12  58
e278    12  66
e279    12  73
e280    12  86
e281    12  98
e282    12  101
e283    12  115
e284    12  120
e285    12  130
e286    12  142
e287    12  148
e288    12  149
e289    13  14
e290    13  16
e291    13  17
e292    13  18
e293    13  25
e294    13  42
e295    13  53
e296    13  76
e297    13  84
e298    13  86
e299    13  88
e300    13  91
e301    13  94
e302    13  96
e303    13  104
e304    13  109
e305    13  110
e306    13  119
e307    13  126
e308    13  130
e309    13  132
e310    13  140
e311    13  141
e312    13  146
e313    14  15
e314    14  18
e315    14  36
e316    14  38
e317    14  39
e318    14  41
e319    14  42
e320    14  44
e321    14  49
e322    14  52
e323    14  58
e324    14  62
e325    14  65
e326    14  71
e327    14  74
e328    14  75
e329    14  76
e330    14  77
e331    14  82
e332    14  89
e333    14  94
e334    14  107
e335    14  108
e336    14  115
e337    14  118
e338    14  119
e339    14  123
e340    14  124
e341    14  127
e342    14  129
e343    14  133
e344    14  136
e345    14  138
e346    14  146
e347    15  16
e348    15  25
e349    15  49
e350    15  60
e351    15  61
e352    15  64
e353    15  84
e354    15  96
e355    15  125
e356    15  127
e357    15  132
e358    15  139
e359    15  143
e360    15  150
e361    16  17
e362    16  19
e363    16  21
e364    16  37
e365    16  43
e366    16  44
e367    16  50
e368    16  51
e369    16  53
e370    16  54
e371    16  60
e372    16  63
e373    16  66
e374    16  69
e375    16  72
e376    16  79
e377    16  81
e378    16  83
e379    16  87
e380    16  97
e381    16  103
e382    16  106
e383    16  107
e384    16  108
e385    16  114
e386    16  116
e387    16  124
e388    16  127
e389    16  128
e390    16  143
e391    16  145
