V: 1000
E: 99900
Edge_Id Vi   Vj
e1      263  360
e2      68   360
e3      68   839
e4      801  839
e5      793  801
e6      362  793
e7      362  370
e8      191  370
e9      191  259
e10     259  460
e11     36   460
e12     36   342
e13     342  412
e14     82   412
e15     82   569
e16     144  569
e17     144  856
e18     524  856
e19     297  524
e20     67   297
e21     67   184
e22     184  555
e23     64   555
e24     64   130
e25     111  130
e26     111  888
e27     257  888
e28     257  771
e29     280  771
e30     280  768
e31     298  768
e32     298  421
e33     421  974
e34     11   974
e35     11   356
e36     356  494
e37     494  564
e38     564  833
e39     17   833
e40     17   424
e41     424  750
e42     55   750
e43     55   207
e44     207  663
e45     63   663
e46     63   965
e47     762  965
e48     76   762
e49     76   725
e50     423  725
e51     423  683
e52     683  864
e53     464  864
e54     464  615
e55     615  853
e56     693  853
e57     687  693
e58     160  687
e59     160  650
e60     650  822
e61     822  968
e62     173  968
e63     173  947
e64     367  947
e65     171  367
e66     171  372
e67     372  845
e68     388  845
e69     388  781
e70     327  781
e71     327  865
e72     451  865
e73     143  451
e74     143  430
e75     430  863
e76     117  863
e77     117  466
e78     466  508
e79     361  508
e80     361  401
e81     401  807
e82     44   807
e83     44   955
e84     629  955
e85     120  629
e86     120  236
e87     236  513
e88     164  513
e89     164  938
e90     818  938
e91     818  876
e92     180  876
e93     180  827
e94     561  827
e95     561  804
e96     735  804
e97     590  735
e98     590  782
e99     374  782
e100    344  374
e101    344  848
e102    848  861
e103    411  861
e104    386  411
e105    386  842
e106    104  842
e107    104  877
e108    709  877
e109    392  709
e110    347  392
e111    347  482
e112    357  482
e113    357  682
e114    301  682
e115    105  301
e116    105  488
e117    488  994
e118    846  994
e119    703  846
e120    703  819
e121    13   819
e122    13   145
e123    95   145
e124    95   331
e125    331  349
e126    349  795
e127    795  916
e128    128  916
e129    128  586
e130    217  586
e131    217  923
e132    42   923
e133    42   593
e134    593  702
e135    702  943
e136    602  943
e137    10   602
e138    10   607
e139    607  651
e140    188  651
e141    188  740
e142    74   740
e143    74   229
e144    229  959
e145    99   959
e146    99   493
e147    493  754
e148    754  770
e149    30   770
e150    30   544
e151    544  676
e152    397  676
e153    294  397
e154    294  653
e155    646  653
e156    646  879
e157    749  879
e158    535  749
e159    535  899
e160    365  899
e161    219  365
e162    219  462
e163    462  886
e164    745  886
e165    745  869
e166    262  869
e167    262  316
e168    316  322
e169    322  871
e170    871  998
e171    307  998
e172    307  363
e173    363  604
e174    267  604
e175    230  267
e176    230  860
e177    286  860
e178    286  389
e179    389  685
e180    77   685
e181    77   680
e182    680  790
e183    764  790
e184    135  764
e185    135  317
e186    317  479
e187    202  479
e188    202  935
e189    333  935
e190    333  575
e191    132  575
e192    132  205
e193    205  728
e194    552  728
e195    288  552
e196    288  643
e197    643  945
e198    249  945
e199    249  738
e200    442  738
e201    442  956
e202    109  956
e203    109  705
e204    59   705
e205    59   529
e206    529  678
e207    538  678
e208    346  538
e209    7    346
e210    7    491
e211    491  510
e212    168  510
e213    168  792
e214    533  792
e215    140  533
e216    140  672
e217    672  874
e218    471  874
e219    214  471
e220    214  235
e221    235  748
e222    748  889
e223    614  889
e224    418  614
e225    260  418
e226    34   260
e227    34   980
e228    26   980
e229    26   324
e230    174  324
e231    174  566
e232    432  566
e233    432  621
e234    28   621
e235    28   922
e236    400  922
e237    400  704
e238    704  982
e239    443  982
