V: 2000
E: 99950
Edge_Id Vi   Vj
e1      770  928
e2      770  868
e3      868  1411
e4      1411 1448
e5      1033 1448
e6      653  1033
e7      216  653
e8      216  962
e9      962  1200
e10     1200 1240
e11     1228 1240
e12     1228 1385
e13     1209 1385
e14     1209 1509
e15     1509 1518
e16     512  1518
e17     512  735
e18     735  1743
e19     300  1743
e20     300  1577
e21     1577 1780
e22     565  1780
e23     236  565
e24     236  1606
e25     548  1606
e26     548  1190
e27     851  1190
e28     851  1131
e29     1131 1192
e30     1192 1230
e31     1230 1840
e32     668  1840
e33     668  1296
e34     1296 1632
e35     613  1632
e36     613  954
e37     954  1744
e38     1744 1783
e39     1322 1783
e40     1044 1322
e41     1044 1501
e42     1501 1553
e43     888  1553
e44     888  1899
e45     197  1899
e46     197  683
e47     683  761
e48     761  1444
e49     1347 1444
e50     823  1347
e51     823  908
e52     908  1261
e53     795  1261
e54     56   795
e55     26   56
e56     26   532
e57     532  1538
e58     158  1538
e59     158  920
e60     920  1773
e61     1514 1773
e62     402  1514
e63     402  890
e64     400  890
e65     358  400
e66     358  1355
e67     803  1355
e68     803  1093
e69     1093 1621
e70     752  1621
e71     465  752
e72     465  746
e73     746  1854
e74     1443 1854
e75     1136 1443
e76     1136 1655
e77     646  1655
e78     4    646
e79     4    604
e80     604  1135
e81     553  1135
e82     553  1713
e83     1416 1713
e84     1416 1524
e85     1524 1837
e86     563  1837
e87     563  1825
e88     556  1825
e89     123  556
e90     29   123
e91     29   1707
e92     1634 1707
e93     85   1634
e94     85   628
e95     628  1471
e96     58   1471
e97     41   58
e98     41   741
e99     741  1792
e100    1640 1792
e101    687  1640
e102    687  1943
e103    298  1943
e104    298  1441
e105    39   1441
e106    39   431
e107    431  1372
e108    1195 1372
e109    1195 1369
e110    1369 1756
e111    1472 1756
e112    694  1472
e113    694  1047
e114    74   1047
e115    74   239
e116    239  1575
e117    1101 1575
e118    1053 1101
e119    1053 1226
e120    793  1226
e121    793  993
e122    479  993
e123    479  863
e124    382  863
e125    382  1170
e126    1170 1622
e127    234  1622
e128    234  1189
e129    1189 1511
e130    1511 1927
e131    929  1927
e132    929  1470
e133    586  1470
e134    586  1507
e135    931  1507
e136    88   931
e137    88   1156
e138    904  1156
e139    904  1186
e140    424  1186
e141    320  424
e142    320  1528
e143    1528 1975
e144    319  1975
e145    319  1022
e146    67   1022
e147    67   799
e148    799  1595
e149    1346 1595
e150    416  1346
e151    416  1375
e152    1020 1375
e153    566  1020
e154    566  1292
e155    387  1292
e156    387  1178
e157    1178 1591
e158    157  1591
e159    157  535
e160    247  535
e161    247  845
e162    845  1521
e163    1211 1521
e164    1211 1989
e165    220  1989
e166    220  1290
e167    1290 1547
e168    1547 1918
e169    1799 1918
e170    544  1799
e171    544  945
e172    627  945
e173    627  1051
e174    828  1051
e175    828  1940
e176    1593 1940
e177    1435 1593
e178    1181 1435
e179    878  1181
e180    878  1932
e181    1703 1932
e182    1703 1874
e183    1874 1924
e184    1371 1924
e185    914  1371
e186    914  1677
e187    30   1677
e188    30   1891
e189    1638 1891
e190    199  1638
e191    199  1541
e192    1277 1541
e193    47   1277
e194    47   267
e195    267  1884
e196    1803 1884
e197    539  1803
e198    539  1438
e199    49   1438
e200    49   1032
e201    1032 1740
e202    434  1740
e203    150  434
e204    150  903
e205    903  1447
e206    1447 1535
e207    477  1535
e208    477  740
e209    740  1325
e210    751  1325
e211    497  751
e212    497  1574
e213    1574 1814
e214    447  1814
e215    447  1774
e216    877  1774
e217    877  1224
e218    1224 1461
e219    676  1461
e220    634  676
e221    634  758
e222    758  1711
e223    1265 1711
e224    1236 1265
e225    670  1236
e226    670  1039
e227    875  1039
e228    875  1449
e229    59   1449
e230    59   1623
e231    449  1623
e232    449  674
e233    674  1671
e234    125  1671
e235    125  1269
e236    1149 1269
e237    344  1149
e238    344  964
e239    964  1063
e240    895  1063
e241    345  895
e242    345  732
e243    496  732
e244    496  1694
e245    1454 1694
e246    205  1454
e247    205  1318
e248    116  1318
e249    116  1954
e250    1354 1954
e251    1354 1999
e252    1013 1999
e253    1013 1844
e254    1484 1844
e255    1089 1484
e256    1089 1548
e257    77   1548
e258    77   988
e259    988  1279
e260    420  1279
e261    334  420
e262    163  334
e263    163  530
e264    304  530
e265    304  1907
e266    457  1907
e267    42   457
e268    42   1345
e269    1345 1466
e270    1466 1670
e271    510  1670
e272    510  1586
e273    370  1586
e274    218  370
e275    218  277
e276    132  277
e277    132  1260
e278    252  1260
e279    252  296
e280    296  1389
e281    1389 1456
e282    488  1456
e283    488  1334
e284    324  1334
e285    324  970
e286    332  970
e287    332  1248
e288    1248 1540
e289    1540 1776
e290    1683 1776
e291    1683 1761
e292    1761 1913
e293    110  1913
e294    110  1415
e295    1415 1458
e296    606  1458
e297    606  1624
e298    1624 1657
e299    90   1657
e300    90   1165
e301    805  1165
e302    393  805
e303    209  393
e304    209  241
e305    241  1118
e306    1118 1635
e307    901  1635
e308    901  1403
e309    1403 1775
e310    728  1775
e311    728  938
e312    801  938
e313    801  1765
e314    1159 1765
e315    1159 1925
e316    1395 1925
e317    941  1395
e318    941  1512
e319    705  1512
e320    705  1003
e321    225  1003
e322    225  710
e323    710  784
e324    784  1495
e325    1343 1495
e326    1343 1800
e327    340  1800
e328    14   340
e329    14   947
e330    555  947
e331    523  555
e332    523  1351
e333    1258 1351
e334    258  1258
e335    258  540
e336    540  1846
e337    771  1846
e338    101  771
e339    101  1578
e340    709  1578
e341    709  1367
e342    1304 1367
e343    1304 1504
e344    1504 1762
e345    623  1762
e346    623  840
e347    840  1966
e348    1602 1966
e349    333  1602
e350    333  1115
e351    22   1115
e352    22   1583
e353    594  1583
e354    594  1328
e355    1067 1328
e356    1067 1344
e357    1344 1737
e358    1287 1737
e359    168  1287
e360    168  661
e361    661  1301
e362    1180 1301
e363    1064 1180
e364    1064 1083
e365    1083 1253
e366    1253 1700
e367    418  1700
e368    418  1951
e369    1446 1951
e370    1446 1950
e371    1770 1950
e372    1647 1770
e373    1647 1649
e374    583  1649
e375    369  583
e376    369  1340
e377    310  1340
e378    229  310
e379    229  1594
e380    1594 1965
e381    438  1965
e382    438  1066
e383    1066 1171
e384    1095 1171
e385    948  1095
e386    364  948
e387    364  1946
e388    1217 1946
e389    675  1217
e390    675  1858
e391    1567 1858
e392    588  1567
e393    588  1497
e394    466  1497
e395    466  934
e396    934  1728
e397    1183 1728
e398    1183 1488
e399    1488 1886
e400    1015 1886
e401    1015 1105
e402    1105 1481
e403    1481 1666
e404    1184 1666
e405    1184 1685
e406    1563 1685
e407    838  1563
e408    838  1407
e409    569  1407
e410    446  569
e411    446  893
e412    892  893
e413    892  1766
e414    1766 1912
e415    161  1912
e416    62   161
e417    62   1229
e418    1153 1229
e419    558  1153
e420    558  969
e421    969  1980
e422    982  1980
e423    982  1366
e424    1085 1366
e425    1085 1112
e426    1112 1335
e427    692  1335
e428    692  839
e429    353  839
e430    353  1510
e431    1510 1894
e432    1463 1894
e433    177  1463
e434    177  1827
e435    1052 1827
e436    1052 1161
e437    98   1161
e438    98   302
e439    302  665
e440    461  665
e441    461  1114
e442    278  1114
e443    278  800
e444    800  1125
e445    1125 1412
e446    1412 1659
e447    136  1659
e448    136  591
e449    360  591
e450    336  360
e451    336  1021
e452    224  1021
e453    224  1767
e454    834  1767
e455    133  834
e456    133  848
e457    846  848
e458    688  846
e459    688  1374
e460    1374 1681
e461    855  1681
e462    855  1250
e463    881  1250
e464    881  1167
e465    1167 1288
e466    1288 1902
e467    1724 1902
e468    311  1724
e469    311  323
e470    323  1140
e471    1140 1404
e472    112  1404
e473    112  144
e474    48   144
e475    48   94
e476    94   348
e477    348  738
e478    738  857
e479    335  857
e480    335  1097
e481    166  1097
e482    166  355
e483    355  756
e484    756  1909
e485    1571 1909
e486    1571 1722
e487    251  1722
e488    251  1099
e489    126  1099
e490    126  490
e491    490  1394
e492    412  1394
e493    193  412
e494    193  1166
e495    1166 1715
e496    291  1715
e497    291  622
e498    167  622
e499    167  1581
e500    858  1581
e501    858  1821
e502    1464 1821
e503    861  1464
e504    861  1284
e505    25   1284
e506    25   1709
e507    505  1709
e508    290  505
e509    290  1016
e510    955  1016
e511    308  955
e512    308  1030
e513    819  1030
e514    819  961
e515    89   961
e516    89   1312
e517    731  1312
e518    731  1108
e519    1060 1108
e520    1060 1716
e521    1617 1716
e522    873  1617
e523    763  873
e524    124  763
e525    124  1035
e526    174  1035
e527    174  1822
e528    1576 1822
e529    1273 1576
e530    1273 1953
e531    1469 1953
e532    835  1469
e533    835  1025
e534    1025 1796
e535    242  1796
e536    242  603
e537    271  603
e538    230  271
e539    227  230
e540    227  813
e541    813  1730
e542    1652 1730
e543    1172 1652
e544    922  1172
e545    403  922
e546    403  930
e547    930  1274
e548    1274 1660
e549    1455 1660
e550    1144 1455
e551    1062 1144
e552    1062 1560
e553    187  1560
e554    187  656
e555    656  912
e556    912  1810
e557    1417 1810
e558    981  1417
e559    295  981
e560    295  1984
e561    1727 1984
e562    32   1727
e563    32   1889
e564    1712 1889
e565    1310 1712
e566    24   1310
e567    24   1036
e568    1036 1556
e569    1556 1898
e570    1445 1898
e571    78   1445
e572    78   1928
e573    395  1928
e574    146  395
e575    146  787
e576    787  1771
e577    525  1771
e578    525  1286
e579    280  1286
e580    280  1515
e581    1305 1515
e582    1058 1305
e583    1058 1653
e584    667  1653
e585    667  847
e586    847  1012
e587    543  1012
e588    543  1014
e589    1014 1239
e590    1239 1735
e591    1391 1735
e592    1289 1391
e593    986  1289
e594    986  1119
e595    1119 1962
e596    1962 1994
e597    844  1994
e598    844  1573
e599    959  1573
e600    959  1942
e601    1386 1942
e602    1018 1386
e603    243  1018
e604    243  766
e605    696  766
e606    143  696
e607    143  907
e608    307  907
e609    307  1285
e610    180  1285
e611    180  1679
e612    1679 1704
e613    176  1704
e614    176  1866
