V: 30
E: 44
Edge_Id Vi Vj
e1      1  2
e2      2  3
e3      2  24
e4      2  25
e5      2  30
e6      3  4
e7      3  6
e8      3  12
e9      4  5
e10     5  6
e11     6  7
e12     7  8
e13     8  9
e14     8  12
e15     8  21
e16     9  10
e17     10 11
e18     10 28
e19     11 12
e20     11 21
e21     11 29
e22     12 13
e23     12 28
e24     13 14
e25     13 22
e26     13 24
e27     14 15
e28     15 16
e29     16 17
e30     17 18
e31     18 19
e32     19 20
e33     20 21
e34     21 22
e35     22 23
e36     23 24
e37     23 26
e38     24 25
e39     25 26
e40     25 27
e41     26 27
e42     27 28
e43     28 29
e44     29 30
