V: 100
E: 248
Edge_Id Vi  Vj
e1      1   2
e2      1   40
e3      1   45
e4      2   3
e5      2   64
e6      3   4
e7      3   28
e8      3   61
e9      3   62
e10     3   81
e11     4   5
e12     4   66
e13     4   74
e14     4   78
e15     4   93
e16     5   6
e17     5   54
e18     5   72
e19     6   7
e20     6   13
e21     6   39
e22     6   54
e23     6   94
e24     7   8
e25     7   18
e26     7   24
e27     8   9
e28     8   56
e29     9   10
e30     9   37
e31     9   49
e32     9   65
e33     9   68
e34     9   90
e35     10  11
e36     10  20
e37     10  32
e38     10  49
e39     10  71
e40     11  12
e41     11  13
e42     11  42
e43     11  73
e44     11  84
e45     12  13
e46     12  36
e47     12  65
e48     13  14
e49     13  16
e50     14  15
e51     14  24
e52     14  58
e53     14  71
e54     15  16
e55     15  74
e56     15  77
e57     16  17
e58     16  41
e59     16  80
e60     17  18
e61     17  57
e62     17  79
e63     17  94
e64     17  96
e65     18  19
e66     18  58
e67     19  20
e68     19  42
e69     19  54
e70     20  21
e71     20  33
e72     20  96
e73     20  99
e74     21  22
e75     21  23
e76     21  65
e77     21  99
e78     22  23
e79     22  63
e80     23  24
e81     23  54
e82     24  25
e83     24  57
e84     24  81
e85     25  26
e86     25  98
e87     26  27
e88     26  31
e89     26  60
e90     27  28
e91     27  32
e92     27  36
e93     27  86
e94     28  29
e95     28  38
e96     28  81
e97     29  30
e98     29  45
e99     29  82
e100    30  31
e101    30  35
e102    30  95
e103    31  32
e104    31  56
e105    32  33
e106    32  50
e107    32  68
e108    33  34
e109    33  50
e110    33  59
e111    33  69
e112    33  77
e113    34  35
e114    35  36
e115    35  54
e116    35  78
e117    35  98
e118    36  37
e119    36  70
e120    36  86
e121    37  38
e122    37  67
e123    38  39
e124    38  77
e125    38  78
e126    39  40
e127    39  43
e128    39  90
e129    40  41
e130    40  94
e131    40  96
e132    41  42
e133    41  47
e134    41  95
e135    42  43
e136    42  65
e137    43  44
e138    43  51
e139    43  52
e140    43  71
e141    44  45
e142    45  46
e143    45  51
e144    45  56
e145    46  47
e146    46  52
e147    46  55
e148    47  48
e149    47  82
e150    47  97
e151    48  49
e152    48  56
e153    48  82
e154    48  90
e155    48  91
e156    49  50
e157    49  80
e158    49  97
e159    50  51
e160    50  94
e161    51  52
e162    51  77
e163    51  84
e164    52  53
e165    52  54
e166    52  55
e167    52  58
e168    52  74
e169    52  87
e170    53  54
e171    53  86
e172    53  87
e173    54  55
e174    54  75
e175    55  56
e176    56  57
e177    57  58
e178    57  78
e179    58  59
e180    58  85
e181    59  60
e182    59  81
e183    60  61
e184    61  62
e185    62  63
e186    62  72
e187    62  74
e188    62  88
e189    63  64
e190    63  74
e191    63  82
e192    63  98
e193    64  65
e194    64  71
e195    64  93
e196    65  66
e197    65  71
e198    65  85
e199    65  91
e200    66  67
e201    66  81
e202    66  100
e203    67  68
e204    67  75
e205    67  91
e206    68  69
e207    69  70
e208    69  77
e209    70  71
e210    70  87
e211    71  72
e212    72  73
e213    73  74
e214    74  75
e215    74  94
e216    75  76
e217    75  89
e218    75  92
e219    76  77
e220    76  89
e221    77  78
e222    77  92
e223    78  79
e224    79  80
e225    80  81
e226    80  90
e227    80  98
e228    81  82
e229    82  83
e230    82  99
e231    83  84
e232    84  85
e233    84  97
e234    85  86
e235    86  87
e236    87  88
e237    88  89
e238    89  90
e239    90  91
e240    91  92
e241    92  93
e242    93  94
e243    94  95
e244    95  96
e245    96  97
e246    97  98
e247    98  99
e248    99  100
